area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	095:DAVID CHIU	096:ALEJANDRO FERNANDEZ
PCT7309	MV	884	0	0	0	0	0	0	0
PCT7311	ED	917	0	0	0	0	0	0	0
PCT7311	MV	917	0	0	0	0	0	0	0
PCT7312	ED	821	0	0	0	0	0	0	0
PCT7312	MV	821	0	0	0	0	0	0	0
PCT7313	ED	968	0	0	0	0	0	0	0
PCT7313	MV	968	0	0	0	0	0	0	0
PCT7314	ED	787	0	0	0	0	0	0	0
PCT7314	MV	787	0	0	0	0	0	0	0
PCT7315	ED	760	0	0	0	0	0	0	0
PCT7315	MV	760	0	0	0	0	0	0	0
PCT7316	ED	853	0	0	0	0	0	0	0
PCT7316	MV	853	0	0	0	0	0	0	0
PCT7317	ED	904	0	0	0	0	0	0	0
PCT7317	MV	904	0	0	0	0	0	0	0
PCT7318	ED	727	0	0	0	0	0	0	0
PCT7318	MV	727	0	0	0	0	0	0	0
PCT7319	ED	1079	0	0	0	0	0	0	0
PCT7319	MV	1079	0	0	0	0	0	0	0
PCT7321	ED	671	0	0	0	0	0	0	0
PCT7321	MV	671	0	0	0	0	0	0	0
PCT7322	ED	874	0	0	0	0	0	0	0
PCT7322	MV	874	0	0	0	0	0	0	0
PCT7323	ED	950	0	0	0	0	0	0	0
PCT7323	MV	950	0	0	0	0	0	0	0
PCT7324	ED	755	0	0	0	0	0	0	0
PCT7324	MV	755	0	0	0	0	0	0	0
PCT7325	ED	904	0	0	0	0	0	0	0
PCT7325	MV	904	0	0	0	0	0	0	0
PCT7326	ED	876	0	0	0	0	0	0	0
PCT7326	MV	876	0	0	0	0	0	0	0
PCT7327	ED	699	0	0	0	0	0	0	0
PCT7327	MV	699	0	0	0	0	0	0	0
PCT7328	ED	973	0	0	0	0	0	0	0
PCT7328	MV	973	0	0	0	0	0	0	0
PCT7329	ED	640	0	0	0	0	0	0	0
PCT7329	MV	640	0	0	0	0	0	0	0
PCT7331	ED	852	0	0	0	0	0	0	0
PCT7331	MV	852	0	0	0	0	0	0	0
PCT7332	ED	834	0	0	0	0	0	0	0
PCT7332	MV	834	0	0	0	0	0	0	0
PCT7333	ED	1044	0	0	0	0	0	0	0
PCT7333	MV	1044	0	0	0	0	0	0	0
PCT7334	ED	881	0	0	0	0	0	0	0
PCT7334	MV	881	0	0	0	0	0	0	0
PCT7335	ED	970	0	0	0	0	0	0	0
PCT7335	MV	970	0	0	0	0	0	0	0
PCT7336	ED	955	0	0	0	0	0	0	0
