ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2020PRI   	247	9429 - 2051 34th Ave		R. L. Stevenson Elementary School - Main Lobby	2051 34th Ave	Btw Quintara & Pacheco	5.5% Slope	9429   	Pct 9429	9429   		6  
2020PRI   	263	9427 - 1750 29th Ave		Episcopal Church Of The Incarnation	1750 29th Ave	Between Noriega & Moraga Streets	8.3% Slope - Ramped Access	9427   	Pct 9427	9427   		6  
2020PRI   	283	9443 - 2650 42nd Ave		Ulloa School - Gymnasium	2650 42nd Ave	Enter Off Vicente Between 41st & 42nd Ave.	8.3% Slope - Ramped Access	9443   	Pct 9443	9443   		6  
2020PRI   	307	9439 - 2162 24th Ave		Abraham Lincoln School - Teachers' Lounge	2162 24th Ave	Btw Rivera & Quintara St's	4.7% Slope	9439   	Pct 9439	9439   		6  
2020PRI   	315	9409 - 1725 Irving St		School - Jefferson - Auditorium	1725 Irving St	Btw 18th And 19th Aves	4.1% Slope	9409   	Pct 9409	9409   		6  
2020PRI   	318	9516 - 1390 14th Avenue		Church - St Annes	1390 14th Avenue	Between Irving And Judah	7.7% Slope - Ramped Access	9516   	Pct 9516	9516   		5  
2020PRI   	330	7701 - 8 Locksley Ave		Sunset Towers - Lobby	8 Locksley Ave	Btw Kirkham & Lawton Sts	8.3% Slope	7701   	Pct 7701	7701   		2  
2020PRI   	331	9514/22- 1 Irving St		Lobby - U C S F Parking Garage	1 Irving St	Corner Arguello Blvd & Irving St	3.3% Slope	9514   	Pct 9514/9522	9514   		5  
2020PRI   	331	9514/22- 1 Irving St		Lobby - U C S F Parking Garage	1 Irving St	Corner Arguello Blvd & Irving St	3.3% Slope	9514   	Pct 9514/9522	9522   		5  
2020PRI   	348	9704 - 1541 12th Ave		School- Alice Fong Yu - Room 401	1541 12th Ave	Between Kirkham & Lawton	3.4% Slope	9704   	Pct 9704	9704   		5  
2020PRI   	364	7702 - 500 Clarendon Avenue		Clarendon Elementary School - Lobby	500 Clarendon Ave	Btw Panorama Dr & Galewood Cir	8.3% Slope - Ramped Access	7702   	Pct 7702	7702   		2  
2020PRI   	366	7704 - 285 Olympia Way		Firehouse #20	285 Olympia Way	Corner Clarendon Ave & Olympia Way	3.2% Slope	7704   	Pct 7704	7704   		2  
2020PRI   	373	9713 - 2155 18th Ave		Firehouse #40	2155 18th Ave	Between Rivera & Quintara St	4.2% slope	9713   	Pct 9713	9713   		5  
2020PRI   	388	9731 - 1091 Portola Dr		Firehouse #39	1091 Portola Dr	On Portola at Marne & Miraloma	5.0% slope	9731   	Pct 9731	9731   		1  
2020PRI   	395	7706 - 175 Omar Way		Miraloma Elementary School - Gym	175 Omar Way	Enter On Omar At Rockdale Dr	6.3% Slope	7706   	Pct 7706	7706   		2  
2020PRI   	411	9728 - 105 Aptos Ave		Aptos Middle School - Room 231	105 Aptos Ave	Enter Off Upland Btw Aptos & San Aleso	5.5% Slope	9728   	Pct 9728	9728   		1  
2020PRI   	412	9742 - 300 Stonecrest Drive		Junipero Serra Playground	300 Stonecrest Drive	Enter Stonecrest Dr Off Broadmoor Dr	8.3% Slope - Ramped Access	9742   	Pct 9742	9742   		1  
2020PRI   	439	7868 - 80 Digby Street		Firehouse #26	80 Digby St	Near Playground At Digby & Everson Sts	5% Slope	7868   	Pct 7868	7868   		3  
2020PRI   	446	7871 - 151 Lippard Ave		School - Glen Park - Auditorium	151 Lippard Ave	Btw  Bosworth & Joost Sts	5.5% Slope - Ramped Access	7871   	Pct 7871	7871   		3  
2020PRI   	450	7864 - 295 Day St		Upper Noe Recreation Center	295 Day St	Btw Sanchez & Church Sts	8% Slope - Ramped Access	7864   	Pct 7864	7864   		3  
2020PRI   	452	7865 - 65 Chenery St		Dolores Huerta Elementary School - Cafeteria	65 Chenery St	Enter Off Randall Btw Chenery & San Jose Sts	8.3% Slope	7865   	Pct 7865	7865   		3  
2020PRI   	453	7944 - 194 Park St		Firehouse #32	194 Park St	Corner Of Holly Park Circle & Park St	2.2% Slope	7944   	Pct 7944	7944   		2  
2020PRI   	461	7939 - 500 Cortland Ave		Bernal Heights Library - Community Room	500 Cortland Ave	Enter On Andover St. Btw Cortland & Moultrie	1.8% Slope	7939   	Pct 7939	7939   		2  
2020PRI   	466	7945 - 560 Alemany Blvd		Alemany Apartments - Community Room	560 Alemany Blvd	Between Ellsworth And Folsom	5.0% Slope	7945   	Pct 7945	7945   		2  
2020PRI   	474	9725 - 220 Middlefield Drive		Lakeshore Elementary - Multi Purpose Room	220 Middlefield Drive	Corner Of Eucalyptus & Middlefield	6% Slope - Ramped Access	9725   	Pct 9725	9725   		1  
2020PRI   	481	9739 - 350 Arballo Dr		Villas Park Merced - Lobby	350 Arballo Dr	Enter Between Vidal & Pinto Ave	7.6% slope	9739   	Pct 9739	9739   		1  
2020PRI   	485	9745 - 150 Font Blvd		Villas Park Merced - Lobby	150 Font Blvd	Btw Cambon & Chumasero Drive	8% Slope - Ramped Entrance	9745   	Pct 9745	9745   		1  
2020PRI   	486	9744 - 750 Gonzalez Dr		Villas Park Merced - Lobby	750 Gonzalez Dr	Between Bucareli And Rivas	8.3% Slope - Ramped Access	9744   	Pct 9744	9744   		1  
2020PRI   	492	1106 - 65 Beverly St		Temple United Methodist Church	65 Beverly St	Enter Beverly Btw Shields St & 19th Ave	2.8% Slope	1106   	Pct 1106	1106   		1  
2020PRI   	517	7016 - 1800 Oakdale Ave		C C S F - Southeast Campus	1800 Oakdale Ave	Btw Quint & Phelps Sts	6.1% Slope	7016   	Pct 7016	7016   		3  
2020PRI   	522	7025 - 410 Hawes Street		Our Lady Of Lourdes Church	410 Hawes St	Btw Innes Ave & Hunters Point Bl	5.3% Slope	7025   	Pct 7025	7025   		3  
2020PRI   	524	7018 - 45 Conkling Street		Thurgood Marshall High School - Auditorum	45 Conkling St	Between Silver Ave And Waterville St	8.3% Slope - Ramped Access	7018   	Pct 7018	7018   		3  
2020PRI   	528	7021 - 1711 Oakdale Ave		All Hallows Community - Community Room	1711 Oakdale Ave	At Intersection Of Newhall St	4.3% Slope	7021   	Pct 7021	7021   		3  
2020PRI   	530	7027 - 50 Pomona St		Charles Drew Elementary School - Cafeteria	50 Pomona St	Btw Thornton Ave & Bayview St	3.6% Slope	7027   	Pct 7027	7027   		3  
2020PRI   	548	7026 - 2082 Bancroft Ave		Garage	2082 Bancroft Ave	Btw Thornton Ave & Phelps St	2.9% Slope	7026   	Pct 7026	7026   		3  
2020PRI   	562	7054 - 1035 Gilman Avenue		Bret Harte Elementary School - Auditorium	1035 Gilman Avenue	Btw Griffith & Hawes Sts	5.1% Slope	7054   	Pct 7054	7054   		3  
2020PRI   	569	9206 - 3630 Divisadero St		Claire Lilienthal School - Scott Campus - Auditorium	3630 Divisadero St	Btw Beach & North Point Sts	6.5% Slope	9206   	Pct 9206	9206   		6  
2020PRI   	581	9236 - 3150 Washington St		S F University High School	3150 Washington St	Btw Lyon & Baker Sts	8.3% Slope	9236   	Pct 9236	9236   		6  
2020PRI   	586	9244 - 2698 California St		Senior Housing - Social Room	2698 California St	Enter Scott St Btw California & Sacramento	4.4% Slope	9244   	Pct 9244	9244   		6  
2020PRI   	595	9208 - 3500 Fillmore St		Marina Middle School - Auditorium Lobby	3500 Fillmore St	Between Bay And Fillmore Streets	8.3% Slope - Ramped Access	9208   	Pct 9208	9208   		6  
